,Actual,Predicted,Absolute Error
0,53700.0,86556.0,-32856.0
1,271800.0,317783.4,-45983.40000000002
2,120600.0,91854.0,28746.0
3,243000.0,173187.0,69813.0
4,126000.0,146553.0,-20553.0
5,126900.0,191329.2,-64429.20000000001
6,117300.0,144534.0,-27234.0
7,100200.0,117006.0,-16806.0
8,104400.0,136176.0,-31776.0
9,60000.0,77873.4,-17873.399999999994
10,323100.0,377023.2,-53923.20000000001
11,195300.0,142758.0,52542.0
12,83700.0,94098.6,-10398.600000000006
13,72900.0,94450.2,-21550.199999999997
14,377400.0,264756.0,112644.0
15,281700.0,258079.8,23620.20000000001
16,105900.0,118435.2,-12535.199999999997
17,100200.0,108534.0,-8334.0
18,250200.0,175803.0,74397.0
19,189600.0,135309.0,54291.0
20,144900.0,143043.0,1857.0
21,303900.0,251935.2,51964.79999999999
22,178200.0,183589.8,-5389.799999999988
23,306000.0,175986.0,130014.0
24,66600.0,131916.0,-65316.0
25,89700.0,104500.8,-14800.800000000003
26,138600.0,180990.0,-42390.0
27,120600.0,131692.8,-11092.799999999988
28,65700.0,123534.6,-57834.600000000006
29,63000.0,91282.2,-28282.199999999997
30,230400.0,261963.0,-31563.0
31,161100.0,143793.0,17307.0
32,109800.0,132621.6,-22821.600000000006
33,240600.0,151750.8,88849.20000000001
34,132300.0,193831.8,-61531.79999999999
35,129600.0,149083.8,-19483.79999999999
36,95400.0,127419.0,-32019.0
37,270900.0,245918.4,24981.600000000006
38,63000.0,83904.0,-20904.0
39,285300.0,265964.4,19335.599999999977
40,209700.0,211143.6,-1443.6000000000058
41,364500.0,238030.8,126469.20000000001
42,210600.0,134169.6,76430.4
43,198000.0,280185.0,-82185.0
44,45900.0,55011.0,-9111.0
45,87000.0,121406.4,-34406.399999999994
46,139500.0,161133.0,-21633.0
47,110700.0,130851.0,-20151.0
48,264600.0,135843.0,128757.0
49,189900.0,147003.0,42897.0
50,265500.0,290889.0,-25389.0
51,85500.0,88200.0,-2700.0
52,119400.0,102376.8,17023.199999999997
53,256500.0,174096.0,82404.0
54,326700.0,268789.2,57910.79999999999
55,141300.0,162978.0,-21678.0
